claim_id,paper_location,claim_text_or_value,source_file,line_or_key_or_cell,commit,producing_script_and_command,status,draft_value,correction_id
M001,macro \paramVex,"301{,}365{,}186",results/provenance/hf_model_card_Hailay_VEXMLM.md,(Hugging Face card Hailay/VEXMLM) Parameters,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,301M,M-7
M002,macro \vocabFinal,"280{,}002",results/provenance/hf_model_card_Hailay_VEXMLM.md,(Hugging Face card Hailay/VEXMLM) Vocabulary,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,280K,M-8
M003,macro \vocabBase,"250{,}002",results/provenance/hf_model_card_Hailay_VEXMLM.md,(Hugging Face card Hailay/VEXMLM) Vocabulary (base),1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,250K,M-8
M004,macro \randInitStd,0.21,results/provenance/expansion_manifest_spm_random.json,initialization.old_perdim_std,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M005,macro \vocabAdded,"30{,}000",results/provenance/expansion_manifest_spm.json,tokens_added,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M006,macro \spmAmhVocab,"32{,}000",tokenizer_manifest_amh.json,spec.vocab_size,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M007,macro \spmAmhTrainLines,"126{,}814",tokenizer_manifest_amh.json,corpus.lines_read,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M008,macro \candAmhAbsent,"27{,}698",new_tokens_amh.json,candidates_total - already_in_base,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M009,macro \candAmhSelected,"20{,}000",new_tokens_amh.json,selected,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M010,macro \spmTirVocab,"50{,}000",tokenizer_manifest_tir.json,spec.vocab_size,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M011,macro \spmTirTrainLines,"137{,}772",tokenizer_manifest_tir.json,corpus.lines_read,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M012,macro \candTirAbsent,"47{,}072",new_tokens_tir.json,candidates_total - already_in_base,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M013,macro \candTirSelected,"20{,}000",new_tokens_tir.json,selected,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M014,macro \spmCharCoverage,0.9995,tokenizer_manifest_amh.json,spec.character_coverage,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M015,macro \newOnlyAmh,"14{,}189",new_tokens.json,vs new_tokens_amh.json,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M016,macro \newOnlyTir,"14{,}279",new_tokens.json,vs new_tokens_tir.json,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M017,macro \newShared,"1{,}532",new_tokens.json,in both candidate lists,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M018,macro \corpusAmhRaw,"200{,}002",results/provenance/preparation_report.json,amharic.lines_read,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M019,macro \corpusAmhKept,"129{,}402",results/provenance/preparation_report.json,amharic.kept,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M020,macro \corpusAmhTrain,"126{,}814",results/provenance/preparation_report.json,amharic.train,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M021,macro \corpusAmhDev,"2{,}588",results/provenance/preparation_report.json,amharic.dev,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M022,macro \corpusAmhOOVWords,"2{,}414",results/provenance/preparation_report.json,amharic.oov_words,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M023,macro \corpusTirRaw,"200{,}000",results/provenance/preparation_report.json,tigrinya.lines_read,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M024,macro \corpusTirKept,"140{,}583",results/provenance/preparation_report.json,tigrinya.kept,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M025,macro \corpusTirTrain,"137{,}772",results/provenance/preparation_report.json,tigrinya.train,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M026,macro \corpusTirDev,"2{,}811",results/provenance/preparation_report.json,tigrinya.dev,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M027,macro \corpusTirOOVWords,"3{,}021",results/provenance/preparation_report.json,tigrinya.oov_words,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
