claim_id,paper_location,claim_text_or_value,source_file,line_or_key_or_cell,commit,producing_script_and_command,status
M1,Model description (architecture),"XLM-R-base: 12 layers, hidden 768, 12 heads, GELU, LN eps 1e-5",configs/base.yaml; checkpoints/vexmlm-stage1-spm/config.json (gitignored),"base.yaml model: block; config.json hidden_act=gelu, layer_norm_eps=1e-05, num_hidden_layers=12, hidden_size=768, num_attention_heads=12","f117c33 (base.yaml); checkpoint config.json untracked/gitignored, no commit",pretraining/run_mlm.py: AutoModelForMaskedLM.from_pretrained (inherits XLM-R-base HF config verbatim),VERIFIED
M2,Model description (XLM-R vocab),"XLM-R vocab size = 250,002",results/spmerge_tokenizer_metrics.json; results/init_verification.json,tokenizers.'xlm-roberta-base'.vocab_size = 250002; key n_old = 250002,d825163 (spmerge_tokenizer_metrics.json); ce87877 (init_verification.json),evaluation/run_intrinsic.py --out results/spmerge_tokenizer_metrics.json; vocabulary_expansion/verify_vocab.py,VERIFIED
M3,Model description (XLM-R params),XLM-R-base ~= 279M parameters,N/A (no repo computation),grep for '279' across all *.py/*.md/*.json repo-wide = 0 computed-param hits,N/A,N/A,EXTERNAL
M4,Model description (VEXMLM vocab),"VEXMLM vocab size = 280,000",checkpoints/vexmlm-stage1-spm/config.json (gitignored); results/init_verification.json,"vocab_size = 280002 (250,002 base + 30,000 added)","checkpoint config.json untracked/gitignored, no commit; init_verification.json ce87877",vocabulary_expansion/expand_xlmr_vocab.py; vocabulary_expansion/verify_vocab.py,VERIFIED
M5,Model description (VEXMLM params),VEXMLM = 301M parameters,N/A (no repo computation),grep for '301' across all *.py/*.md/*.json repo-wide = 0 hits,N/A,N/A,UNTRACEABLE
M6,Model description (Tigrinya tokenizer),"Tigrinya tokenizer vocab size = 50,000",tokenizer/artifacts/tigrinya/manifest.json (gitignored); configs/base.yaml,"manifest.json vocabulary.piece_size=50000, spec.vocab_size=50000; base.yaml tigrinya_vocab_size: 50000","manifest.json untracked/gitignored, no commit; base.yaml f117c33",tokenizer/train_tigrinya_tokenizer.py --vocab-size 50000 (argparse default matches config),VERIFIED
M7,Model description (Amharic tokenizer),"Amharic tokenizer vocab size = 32,000",tokenizer/artifacts/amharic/manifest.json (gitignored); configs/base.yaml,"manifest.json vocabulary.piece_size=32000, spec.vocab_size=32000; base.yaml amharic_vocab_size: 32000","manifest.json untracked/gitignored, no commit; base.yaml f117c33",tokenizer/train_amharic_tokenizer.py --vocab-size 32000 (argparse default matches config),VERIFIED
M8,Sec 3.2 (vocab merge count),"Vocab merge yields exactly 30,000 net new tokens",vocabulary_expansion/artifacts/new_tokens.json (gitignored); results/init_verification.json,"len(tokens)==30000; metadata target_total=30000, selected=30000, cross_language_duplicates_skipped=1253, contribution: amh=15721, tir=15811; n_new=30000 (280002-250002)","new_tokens.json untracked/gitignored, no commit; init_verification.json ce87877",vocabulary_expansion/merge_vocabularies.py; vocabulary_expansion/verify_vocab.py,VERIFIED
M9,Sec 3.2 (vocab disjointness),V_tigrinya (and V_amharic) intersect V_xlmr = empty set,vocabulary_expansion/expand_xlmr_vocab.py,existing = {p.piece for p in proto.pieces}; new tokens added only 'if tok not in existing' -- positively enforced (~lines 107-121),"tracked at HEAD 1e56e55 (committed vocabulary_expansion/ dir, part of 4b6cc53 initial add)",vocabulary_expansion/expand_xlmr_vocab.py,VERIFIED
M10,Sec 3.3 Eq 2 (embedding init),"Embedding init formula: e_t = (1/|V_s|) * sum_{s in V_s} e_s, global mean",vocabulary_expansion/initialization.py,"global_mean_init function (~lines 71-89); docstring: 'OFFICIAL METHOD (paper, Section 3.3)... the method used for all headline VEXMLM results'; impl: gmean = old.mean(0); emb[n_old:] = gmean",4b6cc53 'Official VEXMLM implementation',vocabulary_expansion/expand_xlmr_vocab.py -> vocabulary_expansion/initialization.py::global_mean_init,VERIFIED
